127.0.0.1, 2011-09-27 22:47:19, GET, /, HTTP/1.1, 303, 0.001698
127.0.0.1, 2011-09-27 22:47:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.280400
127.0.0.1, 2011-09-27 22:48:41, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.041989
127.0.0.1, 2011-09-27 22:50:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.037974
127.0.0.1, 2011-09-27 22:51:04, GET, /welcome/default/index, HTTP/1.1, 500, 0.415692
127.0.0.1, 2011-09-27 22:51:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000578
127.0.0.1, 2011-09-27 22:51:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000711
127.0.0.1, 2011-09-27 22:51:07, GET, /admin/default/ticket/welcome/127.0.0.1.2011-09-27.22-51-04.ab54be6a-6f60-466e-a107-2e7b490a90d5, HTTP/1.1, 303, 0.034964
127.0.0.1, 2011-09-27 22:51:07, GET, /admin/default/index, HTTP/1.1, 200, 0.048383
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.004074
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000629
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000692
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000625
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000666
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000572
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000631
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000595
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000731
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000758
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000523
127.0.0.1, 2011-09-27 22:51:08, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000632
127.0.0.1, 2011-09-27 22:51:10, POST, /admin/default/index, HTTP/1.1, 303, 0.039989
127.0.0.1, 2011-09-27 22:51:10, GET, /admin/default/ticket/welcome/127.0.0.1.2011-09-27.22-51-04.ab54be6a-6f60-466e-a107-2e7b490a90d5, HTTP/1.1, 200, 0.081876
127.0.0.1, 2011-09-27 22:51:10, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000897
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.032373
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.000977
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/js/anytime.js, HTTP/1.1, 200, 0.000673
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000681
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000816
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.001385
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000532
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/css/anytime.css, HTTP/1.1, 200, 0.000677
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000830
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.000601
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000540
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000932
127.0.0.1, 2011-09-27 22:52:25, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000794
127.0.0.1, 2011-09-27 22:59:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.019133
127.0.0.1, 2011-09-27 22:59:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.019454
127.0.0.1, 2011-09-27 22:59:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.027001
127.0.0.1, 2011-09-27 22:59:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.019671
127.0.0.1, 2011-09-27 22:59:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.021091
127.0.0.1, 2011-09-27 22:59:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.018437
127.0.0.1, 2011-09-27 22:59:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.020167
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.032857
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.000619
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001469
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000481
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.000753
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000601
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000989
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.000737
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/js/anytime.js, HTTP/1.1, 304, 0.000638
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000576
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000637
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000607
127.0.0.1, 2011-09-27 22:59:59, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000617
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.032051
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.000948
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.000662
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000723
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000504
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000485
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000677
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/static/js/anytime.js, HTTP/1.1, 304, 0.000668
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.000569
127.0.0.1, 2011-09-27 23:00:01, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000503
127.0.0.1, 2011-09-27 23:00:02, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000605
127.0.0.1, 2011-09-27 23:00:02, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000723
127.0.0.1, 2011-09-27 23:00:02, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000588
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.032688
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.001091
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.000645
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000546
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000522
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000529
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/js/anytime.js, HTTP/1.1, 304, 0.000502
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.000506
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000646
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000759
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000871
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000686
127.0.0.1, 2011-09-27 23:00:07, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000600
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.032626
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.000616
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000579
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000499
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000648
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000510
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000691
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.000721
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/static/js/anytime.js, HTTP/1.1, 304, 0.000469
127.0.0.1, 2011-09-27 23:00:17, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.000469
127.0.0.1, 2011-09-27 23:00:18, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000778
127.0.0.1, 2011-09-27 23:00:18, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000583
127.0.0.1, 2011-09-27 23:00:18, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000527
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.033194
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.000911
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.001581
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000550
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000500
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/static/js/anytime.js, HTTP/1.1, 304, 0.000560
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000513
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000626
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/static/css/base.css, HTTP/1.1, 304, 0.000760
127.0.0.1, 2011-09-27 23:00:25, GET, /welcome/static/css/superfish.css, HTTP/1.1, 304, 0.000575
127.0.0.1, 2011-09-27 23:00:27, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 304, 0.000671
127.0.0.1, 2011-09-27 23:00:28, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000690
127.0.0.1, 2011-09-27 23:00:28, GET, /welcome/static/images/shadow.png, HTTP/1.1, 304, 0.000785
127.0.0.1, 2011-09-27 23:00:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.031611
127.0.0.1, 2011-09-27 23:00:30, GET, /welcome/static/css/handheld.css, HTTP/1.1, 304, 0.000759
127.0.0.1, 2011-09-27 23:00:30, GET, /welcome/static/css/anytime.css, HTTP/1.1, 304, 0.000582
127.0.0.1, 2011-09-27 23:00:30, GET, /welcome/static/js/superfish.js, HTTP/1.1, 304, 0.000640
127.0.0.1, 2011-09-27 23:00:30, GET, /welcome/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000484
127.0.0.1, 2011-09-27 23:00:30, GET, /welcome/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000685
